date,season,weather,type,amount,meal_id,name
2024-06-13,su,S,vegetarian,25,,
2024-06-14,su,S,beef,27,,
2024-06-15,su,C,seafood,67,,
2024-06-16,su,C,beef,57,,
2024-06-17,su,R,vegetarian,20,,
2024-06-18,su,S,soup,15,,
2024-06-19,su,S,spicy,29,,
2024-06-20,su,S,beef,34,,
2024-06-21,su,R,vegetarian,22,,
2024-06-22,su,C,seafood,59,,
2024-06-23,su,C,spicy,58,,
2024-06-24,su,S,beef,33,,
2024-06-25,su,C,spicy,23,,
2024-06-26,su,R,vegetarian,27,,
2024-06-27,su,C,seafood,32,,
2024-06-28,su,C,soup,16,,
2024-06-29,su,S,beef,53,,
2024-06-30,su,C,soup,38,,
2024-07-01,su,C,beef,26,,
2024-07-02,su,S,seafood,27,,
2024-07-03,su,C,seafood,30,,
2024-07-04,su,R,vegetarian,21,,
2024-07-05,su,S,beef,32,,
2024-07-06,su,C,seafood,59,,
2024-07-07,su,C,spicy,57,,
2024-07-08,su,R,seafood,26,,
2024-07-09,su,S,spicy,29,,
2024-07-10,su,R,soup,18,,
2024-07-11,su,S,vegetarian,25,,
2024-07-12,su,S,beef,27,,
2024-07-13,su,C,seafood,64,,
2024-07-14,su,C,beef,52,,
2024-07-15,su,R,vegetarian,20,,
2024-07-16,su,S,soup,15,,
2024-07-17,su,S,spicy,29,,
2024-07-18,su,S,beef,34,,
2024-07-19,su,R,vegetarian,22,,
2024-07-20,su,C,seafood,55,,
2024-07-21,su,C,spicy,58,,
2024-07-22,su,S,beef,33,,
2024-07-23,su,C,spicy,23,,
2024-07-24,su,R,vegetarian,27,,
2024-07-25,su,C,seafood,32,,
2024-07-26,su,C,soup,16,,
2024-07-27,su,S,beef,49,,
2024-07-28,su,C,soup,48,,
2024-07-29,su,C,beef,26,,
2024-07-30,su,S,seafood,27,,
2024-07-31,su,C,seafood,30,,
2024-08-01,au,R,vegetarian,21,,
2024-08-02,au,S,beef,32,,
2024-08-03,au,C,seafood,65,,
2024-08-04,au,C,spicy,59,,
2024-08-05,au,R,seafood,26,,
2024-08-06,au,S,spicy,29,,
2024-08-07,au,R,soup,18,,
2024-08-08,au,S,vegetarian,25,,
2024-08-09,au,S,beef,27,,
2024-08-10,au,C,seafood,59,,
2024-08-11,au,C,beef,65,,
2024-08-12,au,R,vegetarian,20,,
2024-08-13,au,S,soup,15,,
2024-08-14,au,S,spicy,29,,
2024-08-15,au,S,beef,34,,
2024-08-16,au,R,vegetarian,22,,
2024-08-17,au,C,seafood,56,,
2024-08-18,au,C,spicy,54,,
2024-08-19,au,S,beef,33,,
2024-08-20,au,C,spicy,23,,
2024-08-21,au,R,vegetarian,27,,
2024-08-22,au,C,seafood,32,,
2024-08-23,au,C,soup,16,,
2024-08-24,au,S,beef,52,,
2024-08-25,au,C,soup,41,,
2024-08-26,au,C,beef,26,,
2024-08-27,au,S,seafood,27,,
2024-08-28,au,C,seafood,30,,
2024-08-29,au,R,vegetarian,21,,
2024-08-30,au,S,beef,32,,
2024-08-31,au,C,seafood,64,,
2024-09-01,au,C,spicy,57,,
2024-09-02,au,R,seafood,26,,
2024-09-03,au,S,spicy,29,,
2024-09-04,au,R,soup,18,,
2024-09-05,au,S,vegetarian,25,,
2024-09-06,au,S,beef,27,,
2024-09-07,au,C,seafood,64,,
2024-09-08,au,C,beef,59,,
2024-09-09,au,R,vegetarian,20,,
2024-09-10,au,S,soup,15,,
2024-09-11,au,S,spicy,29,,
2024-09-12,au,S,beef,34,,
2024-09-13,au,R,vegetarian,22,,
2024-09-14,au,C,seafood,66,,
2024-09-15,au,C,spicy,54,,
2024-09-16,au,S,beef,33,,
2024-09-17,au,C,spicy,23,,
2024-09-18,au,R,vegetarian,27,,
2024-09-19,au,C,seafood,32,,
2024-09-20,au,C,soup,16,,
2024-09-21,au,S,beef,51,,
2024-09-22,au,C,soup,48,,
2024-09-23,au,C,beef,26,,
2024-09-24,au,S,seafood,27,,
2024-09-25,au,C,seafood,30,,
2024-09-26,au,R,vegetarian,21,,
2024-09-27,au,S,beef,32,,
2024-09-28,au,C,seafood,61,,
2024-09-29,au,C,spicy,57,,
2024-09-30,au,R,seafood,26,,
2024-10-01,au,S,spicy,29,,
2024-10-02,au,R,soup,18,,
2024-10-03,au,S,vegetarian,25,,
2024-10-04,au,S,beef,27,,
2024-10-05,au,C,seafood,65,,
2024-10-06,au,C,beef,65,,
2024-10-07,au,R,vegetarian,20,,
2024-10-08,au,S,soup,15,,
2024-10-09,au,S,spicy,29,,
2024-10-10,au,S,beef,34,,
2024-10-11,au,R,vegetarian,22,,
2024-10-12,au,C,seafood,57,,
2024-10-13,au,C,spicy,62,,
2024-10-14,au,S,beef,33,,
2024-10-15,au,C,spicy,23,,
2024-10-16,au,R,vegetarian,27,,
2024-10-17,au,C,seafood,32,,
2024-10-18,au,C,soup,16,,
2024-10-19,au,S,beef,61,,
2024-10-20,au,C,soup,42,,
2024-10-21,au,C,beef,26,,
2024-10-22,au,S,seafood,27,,
2024-10-23,au,C,seafood,30,,
2024-10-24,au,R,vegetarian,21,,
2024-10-25,au,S,beef,32,,
2024-10-26,au,C,seafood,64,,
2024-10-27,au,C,spicy,60,,
2024-10-28,au,R,seafood,26,,
2024-10-29,au,S,spicy,29,,
2024-10-30,au,R,soup,18,,
2024-10-31,au,S,vegetarian,25,,
2024-11-01,wi,S,beef,27,,
2024-11-02,wi,C,seafood,68,,
2024-11-03,wi,C,beef,65,,
2024-11-04,wi,R,vegetarian,20,,
2024-11-05,wi,S,soup,15,,
2024-11-06,wi,S,spicy,29,,
2024-11-07,wi,S,beef,34,,
2024-11-08,wi,R,vegetarian,22,,
2024-11-09,wi,C,seafood,64,,
2024-11-10,wi,C,spicy,57,,
2024-11-11,wi,S,beef,33,,
2024-11-12,wi,C,spicy,23,,
2024-11-13,wi,R,vegetarian,27,,
2024-11-14,wi,C,seafood,32,,
2024-11-15,wi,C,soup,16,,
2024-11-16,wi,S,beef,53,,
2024-11-17,wi,C,soup,49,,
2024-11-18,wi,C,beef,26,,
2024-11-19,wi,S,seafood,27,,
2024-11-20,wi,C,seafood,30,,
2024-11-21,wi,R,vegetarian,21,,
2024-11-22,wi,S,beef,32,,
2024-11-23,wi,C,seafood,68,,
2024-11-24,wi,C,spicy,57,,
2024-11-25,wi,R,seafood,26,,
2024-11-26,wi,S,spicy,29,,
2024-11-27,wi,R,soup,18,,
2024-11-28,wi,S,vegetarian,25,,
2024-11-29,wi,S,beef,27,,
2024-11-30,wi,C,seafood,60,,
2024-12-01,wi,C,beef,61,,
2024-12-02,wi,R,vegetarian,20,,
2024-12-03,wi,S,soup,15,,
2024-12-04,wi,S,spicy,29,,
2024-12-05,wi,S,beef,34,,
2024-12-06,wi,R,vegetarian,22,,
2024-12-07,wi,C,seafood,63,,
2024-12-08,wi,C,spicy,52,,
2024-12-09,wi,S,beef,33,,
2024-12-10,wi,C,spicy,23,,
2024-12-11,wi,R,vegetarian,27,,
2024-12-12,wi,C,seafood,32,,
2024-12-13,wi,C,soup,16,,
2024-12-14,wi,S,beef,58,,
2024-12-15,wi,C,soup,42,,
2024-12-16,wi,C,beef,26,,
2024-12-17,wi,S,seafood,27,,
2024-12-18,wi,C,seafood,30,,
2024-12-19,wi,R,vegetarian,21,,
2024-12-20,wi,S,beef,32,,
2024-12-21,wi,C,seafood,58,,
2024-12-22,wi,C,spicy,62,,
2024-12-23,wi,R,seafood,26,,
2024-12-24,wi,S,spicy,29,,
2024-12-25,wi,R,soup,18,,
2024-12-26,wi,S,vegetarian,25,,
2024-12-27,wi,S,beef,27,,
2024-12-28,wi,C,seafood,67,,
2024-12-29,wi,C,beef,66,,
2024-12-30,wi,R,vegetarian,20,,
2024-12-31,wi,S,soup,15,,
2025-01-01,sp,S,spicy,29,,
2025-01-02,sp,S,beef,34,,
2025-01-03,sp,R,vegetarian,22,,
2025-01-04,sp,C,seafood,60,,
2025-01-05,sp,C,spicy,57,,
2025-01-06,sp,S,beef,33,,
2025-01-07,sp,C,spicy,23,,
2025-01-08,sp,R,vegetarian,27,,
2025-01-09,sp,C,seafood,32,,
2025-01-10,sp,C,soup,16,,
2025-01-11,sp,S,beef,57,,
2025-01-12,sp,C,soup,46,,
2025-01-13,sp,C,beef,26,,
2025-01-14,sp,S,seafood,27,,
2025-01-15,sp,C,seafood,30,,
2025-01-16,sp,R,vegetarian,21,,
2025-01-17,sp,S,beef,32,,
2025-01-18,sp,C,seafood,68,,
2025-01-19,sp,C,spicy,54,,
2025-01-20,sp,R,seafood,26,,
2025-01-21,sp,S,spicy,29,,
2025-01-22,sp,R,soup,18,,
2025-01-23,sp,S,vegetarian,25,,
2025-01-24,sp,S,beef,27,,
2025-01-25,sp,C,seafood,61,,
2025-01-26,sp,C,beef,60,,
2025-01-27,sp,R,vegetarian,20,,
2025-01-28,sp,S,soup,15,,
2025-01-29,sp,S,spicy,29,,
2025-01-30,sp,S,beef,34,,
2025-01-31,sp,R,vegetarian,22,,
2025-02-01,sp,C,seafood,63,,
2025-02-02,sp,C,spicy,53,,
2025-02-03,sp,S,beef,33,,
2025-02-04,sp,C,spicy,23,,
2025-02-05,sp,R,vegetarian,27,,
2025-02-06,sp,C,seafood,32,,
2025-02-07,sp,C,soup,16,,
2025-02-08,sp,S,beef,50,,
2025-02-09,sp,C,soup,45,,
2025-02-10,sp,C,beef,26,,
2025-02-11,sp,S,seafood,27,,
2025-02-12,sp,C,seafood,30,,
2025-02-13,sp,R,vegetarian,21,,
2025-02-14,sp,S,beef,32,,
2025-02-15,sp,C,seafood,63,,
2025-02-16,sp,C,spicy,62,,
2025-02-17,sp,R,seafood,26,,
2025-02-18,sp,S,spicy,29,,
2025-02-19,sp,R,soup,18,,
2025-02-20,sp,S,vegetarian,25,,
2025-02-21,sp,S,beef,27,,
2025-02-22,sp,C,seafood,68,,
2025-02-23,sp,C,beef,65,,
2025-02-24,sp,R,vegetarian,20,,
2025-02-25,sp,S,soup,15,,
2025-02-26,sp,S,spicy,29,,
2025-02-27,sp,S,beef,34,,
2025-02-28,sp,R,vegetarian,22,,
2025-03-01,sp,C,seafood,60,,
2025-03-02,sp,C,spicy,57,,
2025-03-03,sp,S,beef,33,,
2025-03-04,sp,C,spicy,23,,
2025-03-05,sp,R,vegetarian,27,,
2025-03-06,sp,C,seafood,32,,
2025-03-07,sp,C,soup,16,,
2025-03-08,sp,S,beef,61,,
2025-03-09,sp,C,soup,42,,
2025-03-10,sp,C,beef,26,,
2025-03-11,sp,S,seafood,27,,
2025-03-12,sp,C,seafood,30,,
2025-03-13,sp,R,vegetarian,21,,
2025-03-14,sp,S,beef,32,,
2025-03-15,sp,C,seafood,66,,
2025-03-16,sp,C,spicy,51,,
2025-03-17,sp,R,seafood,26,,
2025-03-18,sp,S,spicy,29,,
2025-03-19,sp,R,soup,18,,
2025-03-20,sp,S,vegetarian,25,,
2025-03-21,sp,S,beef,27,,
2025-03-22,sp,C,seafood,60,,
2025-03-23,sp,C,beef,65,,
2025-03-24,sp,R,vegetarian,20,,
2025-03-25,sp,S,soup,15,,
2025-03-26,sp,S,spicy,29,,
2025-03-27,sp,S,beef,34,,
2025-03-28,sp,R,vegetarian,22,,
2025-03-29,sp,C,seafood,68,,
2025-03-30,sp,C,spicy,57,,
2025-03-31,sp,S,beef,33,,
2025-04-01,sp,C,spicy,23,,
2025-04-02,sp,R,vegetarian,27,,
2025-04-03,sp,C,seafood,32,,
2025-04-04,sp,C,soup,16,,
2025-04-05,sp,S,beef,52,,
2025-04-06,sp,C,soup,48,,
2025-04-07,sp,C,beef,26,,
2025-04-08,sp,S,seafood,27,,
2025-04-09,sp,C,seafood,30,,
2025-04-10,sp,R,vegetarian,21,,
2025-04-11,sp,S,beef,32,,
2025-04-12,sp,C,seafood,58,,
2025-04-13,sp,C,spicy,61,,
2025-04-14,sp,R,seafood,26,,
2025-04-15,sp,S,spicy,29,,
2025-04-16,sp,R,soup,18,,
2025-04-17,sp,S,vegetarian,25,,
2025-04-18,sp,S,beef,27,,
2025-04-19,sp,C,seafood,67,,
2025-04-20,sp,C,beef,57,,
2025-04-21,sp,R,vegetarian,20,,
2025-04-22,sp,S,soup,15,,
2025-04-23,sp,S,spicy,29,,
2024-04-24,sp,S,beef,34,,
2025-04-25,sp,R,vegetarian,22,,
2025-04-26,sp,C,seafood,60,,
2025-04-27,sp,C,spicy,58,,
2025-04-28,sp,S,beef,33,,
2025-04-29,sp,C,spicy,23,,
2025-04-30,sp,R,vegetarian,27,,
2025-05-01,su,C,seafood,32,,
2025-05-02,su,C,soup,16,,
2025-05-03,su,S,beef,53,,
2025-05-04,su,C,soup,38,,
2025-05-05,su,C,beef,26,,
2025-05-06,su,S,seafood,27,,
2025-05-07,su,C,seafood,30,,
2025-05-08,su,R,vegetarian,21,,
2025-05-09,su,S,beef,32,,
2025-05-10,su,C,seafood,58,,
2025-05-11,su,C,spicy,57,,
2025-05-12,su,R,seafood,26,,
2025-05-13,su,S,spicy,29,,
2025-05-14,su,R,soup,18,,
2025-05-15,su,S,vegetarian,25,,
2025-05-16,su,S,beef,27,,
2025-05-17,su,C,seafood,63,,
2025-05-18,su,C,beef,52,,
2025-05-19,su,R,vegetarian,20,,
2025-05-20,su,S,soup,15,,
2025-05-21,su,S,spicy,29,,
2025-05-22,su,S,beef,34,,
2025-05-23,su,R,vegetarian,22,,
2025-05-24,su,C,seafood,56,,
2025-05-25,su,C,spicy,58,,
2025-05-26,su,S,beef,33,,
2025-05-27,su,C,spicy,23,,
2025-05-28,su,R,vegetarian,27,,
2025-05-29,su,C,seafood,32,,
2025-05-30,su,C,soup,16,,
2025-05-31,su,S,beef,34,,
2025-06-01,su,C,soup,49,,
2025-06-02,su,C,beef,26,,
2025-06-03,su,S,seafood,27,,
2025-06-04,su,C,seafood,30,,
2025-06-05,su,R,vegetarian,21,,
2025-06-06,su,S,beef,32,,
2025-06-07,su,C,seafood,65,,
2025-06-08,su,C,spicy,59,,
2025-06-09,su,R,seafood,26,,
2025-06-10,su,S,spicy,29,,
2025-06-11,su,R,soup,18,,
2025-06-12,su,S,vegetarian,25,,
2025-06-13,su,S,beef,27,,
2025-06-14,su,C,seafood,58,,
2025-06-15,su,C,beef,65,,
2025-06-16,su,R,vegetarian,20,,
2025-06-17,su,S,soup,15,,
2025-06-18,su,S,spicy,29,,
2025-06-19,su,S,beef,34,,
2025-06-20,su,R,vegetarian,22,,
2025-06-21,su,C,seafood,55,,
2025-06-22,su,C,spicy,54,,
2025-06-23,su,S,beef,33,,
2025-06-24,su,C,spicy,23,,
2025-06-25,su,R,vegetarian,27,,
2025-06-26,su,C,seafood,32,,
2025-06-27,su,C,soup,16,,
2025-06-28,su,S,beef,53,,
2025-06-29,su,C,soup,41,,
2025-06-30,su,C,beef,26,,
2025-07-01,su,S,seafood,27,,
2025-07-02,su,C,seafood,30,,
2025-07-03,su,R,vegetarian,21,,
2025-07-04,su,S,beef,32,,
2025-07-05,su,C,seafood,64,,
2025-07-06,su,C,spicy,57,,
2025-07-07,su,R,seafood,26,,
2025-07-08,su,S,spicy,29,,
2025-07-09,su,R,soup,18,,
2025-07-10,su,S,vegetarian,25,,
2025-07-11,su,S,beef,27,,
2025-07-12,su,C,seafood,65,,
2025-07-13,su,C,beef,60,,
2025-07-14,su,R,vegetarian,20,,
2025-07-15,su,S,soup,15,,
2025-07-16,su,S,spicy,29,,
2025-07-17,su,S,beef,34,,
2025-07-18,su,R,vegetarian,22,,
2025-07-19,su,C,seafood,65,,
2025-07-20,su,C,spicy,54,,
2025-07-21,su,S,beef,33,,
2025-07-22,su,C,spicy,23,,
2025-07-23,su,R,vegetarian,27,,
2025-07-24,su,C,seafood,32,,
2025-07-25,su,C,soup,16,,
2025-07-26,su,S,beef,51,,
2025-07-27,su,C,soup,48,,
2025-07-28,su,C,beef,26,,
2025-07-29,su,S,seafood,27,,
2025-07-30,su,C,seafood,30,,
2025-07-31,su,R,vegetarian,21,,
2025-08-01,au,S,beef,32,,
2025-08-02,au,C,seafood,62,,
2025-08-03,au,C,spicy,57,,
2025-08-04,au,R,seafood,26,,
2025-08-05,au,S,spicy,29,,
2025-08-06,au,R,soup,18,,
2025-08-07,au,S,vegetarian,25,,
2025-08-08,au,S,beef,27,,
2025-08-09,au,C,seafood,65,,
2025-09-14,au,R,seafood,5,,
2025-09-14,au,R,spicy,10,,
2025-09-14,au,R,vegetarian,8,,
2025-09-14,au,R,seafood,5
2025-09-14,au,R,spicy,10
2025-09-14,au,R,vegetarian,8
2025-09-14,au,R,seafood,5
2025-09-14,au,R,spicy,10
2025-09-14,au,R,vegetarian,8
2025-09-14,au,n,seafood,5
2025-09-14,au,n,spicy,10
2025-09-14,au,n,vegetarian,8
